Image Name,Average Temperature,Min Temperature,Max Temperature,Most Frequent Temperature,class
1.0_Thermal_Image.jpg,22.73057364,18.03846154,31,21.88461538,Healthy
1.1_Thermal_Image.jpg,22.66355326,18.03846154,30.80769231,22.5,Healthy
1.10_Thermal_Image.jpg,22.8688409,18.03254438,29,22.71893491,Healthy
1.11_Thermal_Image.jpg,21.55862854,16.0443787,31,16.0887574,Healthy
1.12_Thermal_Image.jpg,22.61785126,16.04142012,27.72189349,20.18343195,Healthy
1.13_Thermal_Image.jpg,22.98842821,18.03254438,29,22.32840237,Healthy
1.2_Thermal_Image.jpg,21.14270253,16.03254438,25.69822485,19.15680473,Healthy
1.3_Thermal_Image.jpg,22.8072302,18.03846154,30.84615385,23.11538462,Healthy
1.4_Thermal_Image.jpg,21.20047006,17.03254438,28,17.03254438,Healthy
1.5_Thermal_Image.jpg,23.14254751,18.03550296,30,22.15384615,Healthy
1.6_Thermal_Image.jpg,22.04655459,18.0295858,27.73372781,21.46153846,Healthy
1.7_Thermal_Image.jpg,23.18317005,18.03254438,28.60946746,18.03254438,Healthy
1.8_Thermal_Image.jpg,21.74781237,17.03254438,28,17.03254438,Healthy
1.9_Thermal_Image.jpg,23.11149801,18.03846154,31,22.5,Healthy
10.0_Thermal_Image.jpg,23.41443498,18.0443787,33,18.0443787,Healthy
10.1_Thermal_Image.jpg,21.50694457,18.02366864,26,18.04733728,Healthy
10.2_Thermal_Image.jpg,21.25901395,18.02366864,26,20.76923077,Healthy
10.3_Thermal_Image.jpg,22.37090816,18.03846154,31,18.03846154,Healthy
10.4_Thermal_Image.jpg,23.31875639,18.04142012,32,22.72189349,Healthy
10.5_Thermal_Image.jpg,23.01674824,18.03550296,30,22.15384615,Healthy
10.6_Thermal_Image.jpg,22.94560839,18.03550296,30,22.15384615,Healthy
11.0_Thermal_Image.jpg,23.85220639,18.03550296,30,24.10650888,Healthy
11.1_Thermal_Image.jpg,23.996795,18.0443787,33,22.48224852,Healthy
11.10_Thermal_Image.jpg,22.21292532,16.05029586,33,16.10059172,Healthy
11.12_Thermal_Image.jpg,21.13628306,16.0443787,31,16.13313609,Healthy
11.2_Thermal_Image.jpg,23.81597248,18.0443787,33,23.19230769,Healthy
11.3_Thermal_Image.jpg,24.16316219,18.0443787,33,22.52662722,Healthy
11.4_Thermal_Image.jpg,24.11257635,18.03550296,30,22.72189349,Healthy
11.5_Thermal_Image.jpg,22.0175146,17.03254438,26.37278107,20.28698225,Healthy
11.6_Thermal_Image.jpg,23.06529326,16.04142012,30,23.41420118,Healthy
11.7_Thermal_Image.jpg,23.24744131,16.04733728,32,24.14201183,Healthy
11.8_Thermal_Image.jpg,23.42444408,17.04733728,33,21.78106509,Healthy
11.9_Thermal_Image.jpg,22.64281418,16.04733728,32,22.29585799,Healthy
12.0_Thermal_Image.jpg,25.74877454,19.04733728,35,24.53846154,Healthy
12.1_Thermal_Image.jpg,25.64704804,19.04733728,35,24.53846154,Healthy
12.10_Thermal_Image.jpg,25.8183122,19.04733728,35,24.53846154,Healthy
12.11_Thermal_Image.jpg,24.27730441,19.05029586,36,24.88461538,Healthy
12.12_Thermal_Image.jpg,24.14719177,19.04733728,35,24.15976331,Healthy
12.13_Thermal_Image.jpg,24.2491932,19.05029586,36,24.07988166,Healthy
12.14_Thermal_Image.jpg,24.4419598,19.05029586,36,24.88461538,Healthy
12.15_Thermal_Image.jpg,24.53523906,19.04733728,35,24.53846154,Healthy
12.16_Thermal_Image.jpg,25.17705231,19.05029586,36,24.07988166,Healthy
12.17_Thermal_Image.jpg,25.25944568,19.05029586,36,24.07988166,Healthy
12.18_Thermal_Image.jpg,25.18590622,19.05029586,36,24.07988166,Healthy
12.19_Thermal_Image.jpg,24.84050911,19.04733728,35,23.78106509,Healthy
12.2_Thermal_Image.jpg,25.94855379,19.04733728,35,25.29585799,Healthy
12.3_Thermal_Image.jpg,25.94998353,19.04733728,35,25.29585799,Healthy
12.4_Thermal_Image.jpg,26.3625056,20.04733728,36,25.53846154,Healthy
12.5_Thermal_Image.jpg,26.34615448,20.04733728,36,25.53846154,Healthy
12.6_Thermal_Image.jpg,25.50487049,19.04733728,35,24.53846154,Healthy
12.7_Thermal_Image.jpg,25.77655286,19.05029586,35.84911243,24.88461538,Healthy
12.8_Thermal_Image.jpg,25.82066212,19.05029586,36,24.88461538,Healthy
12.9_Thermal_Image.jpg,26.0363718,19.04733728,35,24.53846154,Healthy
13.0_Thermal_Image.jpg,25.2896037,20.03254438,30.73964497,24.32840237,Healthy
13.1_Thermal_Image.jpg,24.27188688,20.02662722,29,22.68934911,Healthy
13.2_Thermal_Image.jpg,26.26339358,20.0443787,35,25.90236686,Healthy
13.3_Thermal_Image.jpg,26.00019262,20.0443787,35,25.90236686,Healthy
13.4_Thermal_Image.jpg,24.74245225,21.0295858,30.9112426,23.98816568,Healthy
13.5_Thermal_Image.jpg,23.98709366,20.02662722,29,23.11538462,Healthy
